,confirmed,countryregion,deaths,latitude,longitude,provincestate,recovered,timestamp
0,1,Uganda,0,1,32,,0,1584834182
1,1,Papua New Guinea,0,-6.315,143.9555,,0,1584834182
2,1,Cape Verde,0,15.1111,-23.6167,,0,1584834182
3,15,US,0,61.3707,-152.4044,Alaska,0,1584832398
4,28,US,0,47.5289,-99.784,North Dakota,0,1584832398
5,45,US,0,39.3185,-75.5071,Delaware,0,1584832398
6,57,US,2,38.5266,-96.7265,Kansas,0,1584832398
7,70,US,0,44.6939,-69.3819,Maine,0,1584832398
8,114,US,5,44.572,-122.0709,Oregon,0,1584832398
9,118,US,1,33.7298,-111.4312,Arizona,0,1584832398
10,128,US,4,39.8494,-86.2583,Indiana,0,1584832398
11,131,US,0,32.3182,-86.9023,Alabama,0,1584832398
12,193,US,2,39.0639,-76.8021,Maryland,0,1584832398
13,253,US,0,35.6301,-79.8064,North Carolina,0,1584832398
14,282,US,4,44.2685,-89.6165,Wisconsin,0,1584832398
15,371,US,1,35.7478,-86.6923,Tennessee,0,1584832398
16,390,US,4,39.0598,-105.3111,Colorado,0,1584832398
17,525,US,1,42.2302,-71.5301,Massachusetts,0,1584832398
18,659,US,13,27.7663,-81.6868,Florida,0,1584832398
19,753,US,6,40.3495,-88.9861,Illinois,0,1584832398
20,19,Ghana,1,7.9465,-1.0232,,0,1584832397
21,87,US,3,37.6681,-84.6701,Kentucky,0,1584832397
22,122,US,0,34.9697,-92.3731,Arkansas,0,1584832397
23,136,US,0,40.15,-111.8624,Utah,0,1584832397
24,171,US,3,33.8569,-80.945,South Carolina,0,1584832397
25,396,US,2,40.5908,-77.2098,Pennsylvania,0,1584832397
26,581,US,5,31.0545,-97.5635,Texas,0,1584832397
27,788,US,5,43.3266,-84.5361,Michigan,0,1584830584
28,1364,US,24,36.1162,-119.6816,California,0,1584830584
29,1793,US,94,47.4009,-121.4905,Washington,0,1584830584
30,11710,US,60,42.1657,-74.9481,New York,0,1584830584
31,18,China,0,22.1667,113.55,Macau,10,1584828804
32,1,Eritrea,0,15.1794,39.7823,,0,1584825210
33,1,Canada,0,64.8255,-124.8457,Northwest Territories,0,1584825210
34,17,Canada,0,46.5653,-66.4619,New Brunswick,0,1584825210
35,18,French Guiana,0,3.9339,-53.1258,,6,1584825210
36,21,Canada,0,44.682,-63.7443,Nova Scotia,0,1584825210
37,181,Canada,5,52.9399,-73.5491,Quebec,0,1584825210
38,377,Canada,3,51.2538,-85.3232,Ontario,6,1584825210
39,424,Canada,10,53.7267,-127.6476,British Columbia,4,1584825210
40,6,Canada,0,53.1355,-57.6604,Newfoundland and Labrador,0,1584825209
41,32,United Kingdom,0,49.3723,-2.3644,Channel Islands,0,1584825209
42,17,Guatemala,1,15.7835,-90.2308,,0,1584825194
43,43,Uzbekistan,0,41.3775,64.5853,,0,1584825190
44,47,Ukraine,3,48.3794,31.1656,,1,1584825190
45,53,Azerbaijan,1,40.1431,47.5769,,11,1584823383
46,70,Venezuela,0,6.4238,-66.5897,,0,1584823383
47,76,Belarus,0,53.7098,27.9534,,15,1584823383
48,5018,United Kingdom,233,55.3781,-3.436,United Kingdom,65,1584823383
49,96,Morocco,3,31.7917,-7.0926,,3,1584823382
50,117,Costa Rica,2,9.7489,-83.7534,,2,1584823382
51,171,Serbia,1,44.0165,21.0059,,1,1584823382
52,178,Slovakia,1,48.669,19.699,,0,1584823382
53,294,Egypt,10,26.8206,30.8025,,41,1584823382
54,318,Peru,5,-9.19,-75.0152,,1,1584823382
55,481,Qatar,0,25.3548,51.1839,,27,1584823382
56,506,Ecuador,7,-1.8312,-78.1834,,3,1584823382
57,523,Finland,1,61.9241,25.7482,,10,1584823382
58,536,Poland,5,51.9194,19.1451,,1,1584823382
59,785,Ireland,3,53.1424,-7.6921,,5,1584823382
60,995,Czechia,0,49.8175,15.473,,6,1584823382
61,1007,Japan,35,36.2048,138.2529,,232,1584823382
62,6575,Switzerland,75,46.8182,8.2275,,15,1584823382
63,14282,France,562,46.2276,2.2137,France,12,1584823382
64,22213,Germany,84,51.1657,10.4515,,233,1584823382
65,730,Pakistan,3,30.3753,69.3451,,13,1584821601
66,1,US,0,37.0902,-95.7129,US,171,1584819783
67,21,US,1,18.2208,-66.5901,Puerto Rico,0,1584819783
68,23,US,0,42.756,-107.3025,Wyoming,0,1584819783
69,66,US,0,41.6809,-71.5118,Rhode Island,0,1584819783
70,68,US,0,42.0115,-93.2105,Iowa,0,1584819783
71,138,US,1,45.6945,-93.9002,Minnesota,0,1584819783
72,156,US,2,37.7693,-78.17,Virginia,0,1584819783
73,248,US,3,40.3888,-82.7649,Ohio,0,1584819783
74,1327,US,16,40.2989,-74.521,New Jersey,0,1584819783
75,4,France,0,-20.9043,165.618,New Caledonia,0,1584812583
76,6,US,0,18.3358,-64.8963,United States Virgin Islands,0,1584812583
77,14,Kyrgyzstan,0,41.2044,74.7661,,0,1584812583
78,15,US,0,13.4443,144.7937,Guam,0,1584812583
79,16,Togo,0,8.6195,0.8248,,1,1584812583
80,18,Canada,0,53.7609,-98.8139,Manitoba,0,1584812583
81,21,US,0,46.9219,-110.4544,Montana,0,1584812583
82,38,US,0,41.1254,-98.2681,Nebraska,0,1584812583
83,49,Trinidad and Tobago,0,10.6918,-61.2225,,1,1584812583
84,49,Georgia,0,42.3154,43.3569,,1,1584812583
85,53,US,1,35.5653,-96.9289,Oklahoma,0,1584812583
86,53,Cambodia,0,12.5657,104.991,,1,1584812583
87,74,US,3,38.4561,-92.2884,Missouri,0,1584812583
88,77,Sri Lanka,0,7.8731,80.7718,,1,1584812583
89,80,Moldova,1,47.4116,28.3699,,1,1584812583
90,83,Lithuania,1,55.1694,23.8813,,1,1584812583
91,84,Cyprus,0,35.1264,33.4299,,0,1584812583
92,85,North Macedonia,0,41.6086,21.7453,,1,1584812583
93,93,Bosnia and Herzegovina,1,43.9159,17.6791,,2,1584812583
94,94,Vietnam,0,14.0583,108.2772,,17,1584812583
95,139,Algeria,15,28.0339,1.6596,,32,1584812583
96,144,San Marino,20,43.9424,12.4578,,4,1584812583
97,153,United Arab Emirates,2,23.4241,53.8478,,38,1584812583
98,163,Bulgaria,3,42.7339,25.4858,,3,1584812583
99,196,Colombia,0,4.5709,-74.2973,,1,1584812583
